Date,Consumer Confidence Index (OECD)
12/1/1988 0:00,101.7533
1/1/1989 0:00,101.7284
2/1/1989 0:00,101.6156
3/1/1989 0:00,101.4406
4/1/1989 0:00,101.2791
5/1/1989 0:00,101.1936
6/1/1989 0:00,101.1966
7/1/1989 0:00,101.273
8/1/1989 0:00,101.3721
9/1/1989 0:00,101.4832
10/1/1989 0:00,101.4789
11/1/1989 0:00,101.4266
12/1/1989 0:00,101.4001
1/1/1990 0:00,101.3822
2/1/1990 0:00,101.3156
3/1/1990 0:00,101.2531
4/1/1990 0:00,101.2194
5/1/1990 0:00,101.1329
6/1/1990 0:00,101.0062
7/1/1990 0:00,100.7822
8/1/1990 0:00,100.3805
9/1/1990 0:00,99.94159
10/1/1990 0:00,99.65395
11/1/1990 0:00,99.58379
12/1/1990 0:00,99.62653
1/1/1991 0:00,99.72113
2/1/1991 0:00,99.9824
3/1/1991 0:00,100.3655
4/1/1991 0:00,100.5081
5/1/1991 0:00,100.4993
6/1/1991 0:00,100.4542
7/1/1991 0:00,100.3919
8/1/1991 0:00,100.3467
9/1/1991 0:00,100.2875
10/1/1991 0:00,100.0973
11/1/1991 0:00,99.82925
12/1/1991 0:00,99.63583
1/1/1992 0:00,99.57787
2/1/1992 0:00,99.67375
3/1/1992 0:00,99.83982
4/1/1992 0:00,99.93859
5/1/1992 0:00,99.94538
6/1/1992 0:00,99.84624
7/1/1992 0:00,99.65051
8/1/1992 0:00,99.42991
9/1/1992 0:00,99.24062
10/1/1992 0:00,99.17859
11/1/1992 0:00,99.30991
12/1/1992 0:00,99.46307
1/1/1993 0:00,99.53351
2/1/1993 0:00,99.53164
3/1/1993 0:00,99.52203
4/1/1993 0:00,99.49445
5/1/1993 0:00,99.37948
6/1/1993 0:00,99.22207
7/1/1993 0:00,99.09542
8/1/1993 0:00,99.04868
9/1/1993 0:00,99.07166
10/1/1993 0:00,99.16683
11/1/1993 0:00,99.34483
12/1/1993 0:00,99.65696
1/1/1994 0:00,99.98151
2/1/1994 0:00,100.2023
3/1/1994 0:00,100.3496
4/1/1994 0:00,100.5034
5/1/1994 0:00,100.6598
6/1/1994 0:00,100.7893
7/1/1994 0:00,100.8825
8/1/1994 0:00,100.9845
9/1/1994 0:00,101.0578
10/1/1994 0:00,101.0825
11/1/1994 0:00,101.0629
12/1/1994 0:00,101.0339
1/1/1995 0:00,100.9855
2/1/1995 0:00,100.8579
3/1/1995 0:00,100.717
4/1/1995 0:00,100.672
5/1/1995 0:00,100.6942
6/1/1995 0:00,100.7927
7/1/1995 0:00,100.8641
8/1/1995 0:00,100.8436
9/1/1995 0:00,100.7101
10/1/1995 0:00,100.5943
11/1/1995 0:00,100.5161
12/1/1995 0:00,100.4926
1/1/1996 0:00,100.4955
2/1/1996 0:00,100.5341
3/1/1996 0:00,100.6162
4/1/1996 0:00,100.6435
5/1/1996 0:00,100.6361
6/1/1996 0:00,100.6607
7/1/1996 0:00,100.7008
8/1/1996 0:00,100.7451
9/1/1996 0:00,100.7672
10/1/1996 0:00,100.7735
11/1/1996 0:00,100.757
12/1/1996 0:00,100.7249
1/1/1997 0:00,100.7495
2/1/1997 0:00,100.8341
3/1/1997 0:00,100.9496
4/1/1997 0:00,101.0977
5/1/1997 0:00,101.2669
6/1/1997 0:00,101.4222
7/1/1997 0:00,101.5277
8/1/1997 0:00,101.5529
9/1/1997 0:00,101.5389
10/1/1997 0:00,101.4825
11/1/1997 0:00,101.4302
12/1/1997 0:00,101.3896
1/1/1998 0:00,101.444
2/1/1998 0:00,101.529
3/1/1998 0:00,101.5661
4/1/1998 0:00,101.5757
5/1/1998 0:00,101.5396
6/1/1998 0:00,101.4753
7/1/1998 0:00,101.4203
8/1/1998 0:00,101.3503
9/1/1998 0:00,101.2937
10/1/1998 0:00,101.3004
11/1/1998 0:00,101.4074
12/1/1998 0:00,101.5209
1/1/1999 0:00,101.6754
2/1/1999 0:00,101.7757
3/1/1999 0:00,101.7659
4/1/1999 0:00,101.7366
5/1/1999 0:00,101.755
6/1/1999 0:00,101.8004
7/1/1999 0:00,101.8374
8/1/1999 0:00,101.8792
9/1/1999 0:00,101.9454
10/1/1999 0:00,102.0198
11/1/1999 0:00,102.1217
12/1/1999 0:00,102.2299
1/1/2000 0:00,102.345
2/1/2000 0:00,102.3552
3/1/2000 0:00,102.3053
4/1/2000 0:00,102.2854
5/1/2000 0:00,102.2772
6/1/2000 0:00,102.2446
7/1/2000 0:00,102.2376
8/1/2000 0:00,102.1781
9/1/2000 0:00,102.0481
10/1/2000 0:00,101.9503
11/1/2000 0:00,101.8178
12/1/2000 0:00,101.6067
1/1/2001 0:00,101.4006
2/1/2001 0:00,101.2313
3/1/2001 0:00,101.1342
4/1/2001 0:00,101.0686
5/1/2001 0:00,101.0227
6/1/2001 0:00,100.981
7/1/2001 0:00,100.8892
8/1/2001 0:00,100.6929
9/1/2001 0:00,100.4319
10/1/2001 0:00,100.3056
11/1/2001 0:00,100.3632
12/1/2001 0:00,100.5479
1/1/2002 0:00,100.717
2/1/2002 0:00,100.8439
3/1/2002 0:00,100.952
4/1/2002 0:00,100.9818
5/1/2002 0:00,100.9708
6/1/2002 0:00,100.8564
7/1/2002 0:00,100.7013
8/1/2002 0:00,100.5506
9/1/2002 0:00,100.4034
10/1/2002 0:00,100.2429
11/1/2002 0:00,100.1291
12/1/2002 0:00,99.98538
1/1/2003 0:00,99.78414
2/1/2003 0:00,99.61114
3/1/2003 0:00,99.60121
4/1/2003 0:00,99.84718
5/1/2003 0:00,100.1225
6/1/2003 0:00,100.2903
7/1/2003 0:00,100.359
8/1/2003 0:00,100.3511
9/1/2003 0:00,100.3572
10/1/2003 0:00,100.4277
11/1/2003 0:00,100.5589
12/1/2003 0:00,100.698
1/1/2004 0:00,100.842
2/1/2004 0:00,100.829
3/1/2004 0:00,100.7851
4/1/2004 0:00,100.7462
5/1/2004 0:00,100.7253
6/1/2004 0:00,100.7693
7/1/2004 0:00,100.8258
8/1/2004 0:00,100.8262
9/1/2004 0:00,100.7998
10/1/2004 0:00,100.8017
11/1/2004 0:00,100.8556
12/1/2004 0:00,100.9509
1/1/2005 0:00,101.0281
2/1/2005 0:00,101.0087
3/1/2005 0:00,100.8752
4/1/2005 0:00,100.7291
5/1/2005 0:00,100.673
6/1/2005 0:00,100.7133
7/1/2005 0:00,100.6756
8/1/2005 0:00,100.4693
9/1/2005 0:00,100.2208
10/1/2005 0:00,100.2001
11/1/2005 0:00,100.4276
12/1/2005 0:00,100.7489
1/1/2006 0:00,100.9724
2/1/2006 0:00,101.0197
3/1/2006 0:00,100.9807
4/1/2006 0:00,100.8762
5/1/2006 0:00,100.7057
6/1/2006 0:00,100.6133
7/1/2006 0:00,100.5874
8/1/2006 0:00,100.6137
9/1/2006 0:00,100.7562
10/1/2006 0:00,100.9604
11/1/2006 0:00,101.0731
12/1/2006 0:00,101.1271
1/1/2007 0:00,101.1363
2/1/2007 0:00,101.0737
3/1/2007 0:00,100.9943
4/1/2007 0:00,100.9717
5/1/2007 0:00,100.9909
6/1/2007 0:00,100.9657
7/1/2007 0:00,100.9206
8/1/2007 0:00,100.766
9/1/2007 0:00,100.5668
10/1/2007 0:00,100.3252
11/1/2007 0:00,100.0478
12/1/2007 0:00,99.83553
1/1/2008 0:00,99.61751
2/1/2008 0:00,99.3073
3/1/2008 0:00,98.93373
4/1/2008 0:00,98.47345
5/1/2008 0:00,98.02179
6/1/2008 0:00,97.66872
7/1/2008 0:00,97.55879
8/1/2008 0:00,97.63964
9/1/2008 0:00,97.64931
10/1/2008 0:00,97.3791
11/1/2008 0:00,97.13139
12/1/2008 0:00,96.99434
1/1/2009 0:00,96.93189
2/1/2009 0:00,96.94212
3/1/2009 0:00,97.17201
4/1/2009 0:00,97.63534
5/1/2009 0:00,98.09692
6/1/2009 0:00,98.44155
7/1/2009 0:00,98.6644
8/1/2009 0:00,98.87181
9/1/2009 0:00,99.09219
10/1/2009 0:00,99.18999
11/1/2009 0:00,99.21777
12/1/2009 0:00,99.27962
1/1/2010 0:00,99.35112
2/1/2010 0:00,99.37003
3/1/2010 0:00,99.36861
4/1/2010 0:00,99.34741
5/1/2010 0:00,99.29856
6/1/2010 0:00,99.25261
7/1/2010 0:00,99.20316
8/1/2010 0:00,99.21918
9/1/2010 0:00,99.24396
10/1/2010 0:00,99.28687
11/1/2010 0:00,99.36736
12/1/2010 0:00,99.40282
1/1/2011 0:00,99.36472
2/1/2011 0:00,99.25667
3/1/2011 0:00,99.02856
