Date,FTSE ALL Share,FTSE Small Cap Index
2002-11-01,2002.97,1918.57
2002-12-01,1893.73,1820.58
2003-01-01,1722.28,1729.47
2003-02-01,1759.08,1711.73
2003-03-01,1735.72,1647.33
2003-04-01,1891.5,1832.87
2003-05-01,1968.83,2029.86
2003-06-01,1971.26,2102.23
2003-07-01,2045.82,2263.79
2003-08-01,2064.74,2407.16
2003-09-01,2027.72,2354.95
2003-10-01,2125.37,2473.01
2003-11-01,2146.72,2447.59
2003-12-01,2207.38,2475.08
2004-01-01,2187.1,2619.69
2004-02-01,2243.41,2697.37
2004-03-01,2196.97,2632.94
2004-04-01,2237.34,2625.25
2004-05-01,2201.81,2508.36
2004-06-01,2228.67,2582.79
2004-07-01,2192.22,2479.97
2004-08-01,2214.19,2469.94
2004-09-01,2271.67,2556.35
2004-10-01,2297.66,2601.11
2004-11-01,2345.21,2684.53
2004-12-01,2410.75,2758.15
2005-01-01,2441.22,2877.51
2005-02-01,2495.46,2940.87
2005-03-01,2457.73,2907.27
2005-04-01,2397.05,2802.8
2005-05-01,2483.35,2827
2005-06-01,2560.17,2920.24
2005-07-01,2644.75,3033.19
2005-08-01,2659.21,3102.9
2005-09-01,2745.79,3158.36
2005-10-01,2664.4,3041.98
2005-11-01,2741.05,3200.6
2005-12-01,2847.02,3305.48
2006-01-01,2928.56,3491.89
2006-02-01,2956.12,3570.68
2006-03-01,3047.96,3612.52
2006-04-01,3074.26,3626.74
2006-05-01,2916.85,3423.69
2006-06-01,2967.58,3393.42
2006-07-01,3004.28,3383.55
2006-08-01,3007.51,3447.36
2006-09-01,3050.44,3541.89
2006-10-01,3140.47,3636.66
2006-11-01,3119.85,3650.96
2006-12-01,3221.42,3905.59
2007-01-01,3211.84,3947.44
2007-02-01,3198.28,3967.88
2007-03-01,3283.21,4013.53
2007-04-01,3355.6,4098.99
2007-05-01,3438.7,4180.45
2007-06-01,3404.14,4021.55
2007-07-01,3289.12,3960.8
2007-08-01,3260.48,3848.72
2007-09-01,3316.89,3774.98
2007-10-01,3454.12,3877.22
2007-11-01,3280.87,3447.51
2007-12-01,3286.67,3420.31
2008-01-01,3000.1,3123.04
2008-02-01,3013.02,3251.91
2008-03-01,2927.05,3055.38
2008-04-01,3099.94,3154.39
2008-05-01,3082.26,3143.55
2008-06-01,2855.69,2868.26
2008-07-01,2749.21,2755.93
2008-08-01,2868.69,2848.48
2008-09-01,2483.67,2427.04
2008-10-01,2183.69,1938.55
2008-11-01,2133.99,1784.44
2008-12-01,2209.29,1854.22
2009-01-01,2078.92,1781.02
2009-02-01,1929.75,1708.37
